"Statistic Label","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1989"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","29295"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","1525"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","760"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","11833"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","495"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","205"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","3149"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","44"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","19"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","226"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","13"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","4"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","84"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","15"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","6"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","114"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","3"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","1"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","47"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","55"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","32"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","269"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","2564"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1192"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","11601"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","1275"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","720"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","6520"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","333"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","207"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","1926"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","108"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","55"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","754"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","54"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","39"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","361"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","36"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","29"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","222"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","18"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","19"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","137"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","30"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","43"
"Second Hand Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","131"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","3125"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1448"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","15636"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","1227"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","651"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","6548"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","279"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","151"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","1652"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","118"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","60"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","606"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","50"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","48"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","354"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","32"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","27"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","206"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","21"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","24"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","134"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","25"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","28"
"Second Hand Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","125"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","3499"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1766"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","18756"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","1202"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","700"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","6817"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","289"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","136"
"Second Hand Private Cars","2019","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","1619"
