"STATISTIC Label","Year","Taxation Class","Type of Fuel","UNIT","VALUE"
"New and Secondhand Vehicles","2013","New Goods Vehicles","Petrol","Number","0"
"New and Secondhand Vehicles","2013","New Goods Vehicles","Diesel","Number","11014"
"New and Secondhand Vehicles","2013","New Goods Vehicles","Other fuel types","Number","3"
"New and Secondhand Vehicles","2013","New Goods Vehicles","Electric","Number","7"
"New and Secondhand Vehicles","2013","New Goods Vehicles","Hybrid","Number","0"
"New and Secondhand Vehicles","2013","New Tractors","All fuel types","Number","4403"
"New and Secondhand Vehicles","2013","New Tractors","Petrol","Number","10"
"New and Secondhand Vehicles","2013","New Tractors","Diesel","Number","4393"
"New and Secondhand Vehicles","2013","New Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2013","New Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2013","New Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2013","New Motor Cycles","All fuel types","Number","878"
"New and Secondhand Vehicles","2013","New Motor Cycles","Petrol","Number","866"
"New and Secondhand Vehicles","2013","New Motor Cycles","Diesel","Number","0"
"New and Secondhand Vehicles","2013","New Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2013","New Motor Cycles","Electric","Number","12"
"New and Secondhand Vehicles","2013","New Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2013","New Other Vehicles","All fuel types","Number","5234"
"New and Secondhand Vehicles","2013","New Other Vehicles","Petrol","Number","691"
"New and Secondhand Vehicles","2013","New Other Vehicles","Diesel","Number","4514"
"New and Secondhand Vehicles","2013","New Other Vehicles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2013","New Other Vehicles","Electric","Number","2"
"New and Secondhand Vehicles","2013","New Other Vehicles","Hybrid","Number","27"
"New and Secondhand Vehicles","2013","Secondhand Private Cars","All fuel types","Number","49762"
"New and Secondhand Vehicles","2013","Secondhand Private Cars","Petrol","Number","6885"
"New and Secondhand Vehicles","2013","Secondhand Private Cars","Diesel","Number","42404"
"New and Secondhand Vehicles","2013","Secondhand Private Cars","Other fuel types","Number","2"
"New and Secondhand Vehicles","2013","Secondhand Private Cars","Electric","Number","16"
"New and Secondhand Vehicles","2013","Secondhand Private Cars","Hybrid","Number","455"
"New and Secondhand Vehicles","2013","Secondhand Goods Vehicles","All fuel types","Number","7533"
"New and Secondhand Vehicles","2013","Secondhand Goods Vehicles","Petrol","Number","18"
"New and Secondhand Vehicles","2013","Secondhand Goods Vehicles","Diesel","Number","7507"
"New and Secondhand Vehicles","2013","Secondhand Goods Vehicles","Other fuel types","Number","8"
"New and Secondhand Vehicles","2013","Secondhand Goods Vehicles","Electric","Number","0"
"New and Secondhand Vehicles","2013","Secondhand Goods Vehicles","Hybrid","Number","0"
"New and Secondhand Vehicles","2013","Secondhand Tractors","All fuel types","Number","6598"
"New and Secondhand Vehicles","2013","Secondhand Tractors","Petrol","Number","4"
"New and Secondhand Vehicles","2013","Secondhand Tractors","Diesel","Number","6594"
"New and Secondhand Vehicles","2013","Secondhand Tractors","Other fuel types","Number","0"
